Time,Close,Open,High,Low,,
Mar 12,141.9021,147.7847,148.6311,139.7708,-,-4.14%
Feb 12,148.0367,144.68,149.6649,143.2845,-,2.69%
Jan 12,144.1561,142.4712,147.4477,140.0367,-,2.47%
Dec 11,140.6802,146.283,147.4442,136.1699,-,-3.75%
Nov 11,146.1596,146.4365,150.7868,141.2115,-,-2.22%
Oct 11,149.4779,140.0769,151.3415,138.068,-,6.62%
Sep 11,140.2016,163.4363,164.1737,140.1167,-,-14.74%
Aug 11,164.4327,163.8427,164.6703,152.6062,-,0.99%
Jul 11,162.8146,156.2139,166.5228,155.8001,-,2.96%
Jun 11,158.1349,166.326,168.8691,153.8469,-,-5.05%
May 11,166.5416,173.87,175.6616,156.7131,-,-5.06%
Apr 11,175.4211,169.812,175.6758,168.055,-,3.46%
Mar 11,169.5579,166.9275,170.5379,157.5595,-,2.05%
Feb 11,166.1437,163.7232,166.5502,160.7087,-,1.31%
Jan 11,163.9999,163.4805,164.0914,157.3542,-,0.99%
Dec 10,162.3929,148.9954,162.5677,148.6986,-,10.67%
Nov 10,146.7299,148.6059,157.8376,142.5668,-,-0.37%
Oct 10,147.2686,140.487,147.951,138.0016,-,4.97%
Sep 10,140.2939,131.8219,140.6991,131.5888,-,7.25%
Aug 10,130.8135,135.6308,138.4565,128.2874,-,-2.56%
Jul 10,134.2481,124.7794,134.2913,123.408,-,6.76%
Jun 10,125.7471,123.8576,130.7903,121.1931,-,0.31%
May 10,125.3626,134.9155,135.3725,121.3841,-,-6.93%
Apr 10,134.7037,133.2206,137.3684,132.7585,-,1.93%
Mar 10,132.1517,133.8009,136.1537,129.5776,-,-1.26%
Feb 10,133.8318,129.7051,134.9676,125.5633,-,3.70%
Jan 10,129.0506,141.9432,145.115,128.821,-,-7.28%
Dec 09,139.1873,137.1128,141.191,131.3584,-,1.97%
Nov 09,136.4934,132.6648,137.8469,130.59,-,3.51%
Oct 09,131.8621,126.489,139.561,122.782,-,3.27%
Sep 09,127.683,125.348,130.066,121.956,-,1.56%
Aug 09,125.719,129.834,133.104,123.829,-,-0.60%
Jul 09,126.475,123.779,126.56,112.602,-,3.21%
