Time,Close,Open,High,Low,,
Jun 13,"4,624.37","4,615.60","4,821.70","4,573.50",-,0.23%
May 13,"4,613.59","4,658.30","4,769.90","4,560.40",-,-1.49%
Apr 13,"4,683.33","4,900.30","4,922.70","4,472.90",-,-4.73%
Mar 13,"4,915.86","4,869.60","4,947.10","4,800.80",-,0.77%
Feb 13,"4,878.31","5,106.40","5,148.50","4,865.10",-,-4.39%
Jan 13,"5,102.05","4,909.30","5,115.30","4,857.00",-,4.36%
Dec 12,"4,889.01","4,936.60","4,974.40","4,763.40",-,-0.65%
Nov 12,"4,920.92","4,845.60","4,938.20","4,733.10",-,1.48%
Oct 12,"4,849.29","5,040.10","5,131.10","4,813.80",-,-4.07%
Sep 12,"5,054.81","5,172.60","5,309.00","4,910.40",-,-1.42%
Aug 12,"5,127.74","4,812.10","5,183.20","4,766.40",-,6.37%
Jul 12,"4,820.88","4,510.30","4,965.50","4,463.80",-,6.37%
Jun 12,"4,532.03","4,471.20","4,541.50","4,200.10",-,1.20%
May 12,"4,478.23","5,141.10","5,177.40","4,465.60",-,-12.98%
Apr 12,"5,146.09","5,191.70","5,273.20","5,019.00",-,-0.51%
Mar 12,"5,172.64","5,296.60","5,402.20","5,113.90",-,-2.35%
Feb 12,"5,297.13","5,005.80","5,389.50","4,941.30",-,6.06%
Jan 12,"4,994.31","4,929.70","5,101.90","4,895.70",-,2.23%
Dec 11,"4,885.26","4,996.80","5,053.90","4,646.40",-,-2.11%
Nov 11,"4,990.43","4,914.20","5,112.30","4,769.00",-,1.42%
Oct 11,"4,920.72","4,457.90","5,011.00","4,346.60",-,9.75%
Sep 11,"4,483.73","5,111.10","5,119.50","4,428.20",-,-12.17%
Aug 11,"5,104.94","5,255.70","5,307.50","4,652.29",-,-1.84%
Jul 11,"5,200.87","5,038.80","5,342.00","4,983.50",-,2.43%
Jun 11,"5,077.25","5,374.30","5,401.90","4,822.30",-,-5.31%
May 11,"5,361.71","5,736.00","5,780.10","4,998.10",-,-6.89%
Apr 11,"5,758.37","5,531.20","5,788.10","5,504.60",-,4.41%
Mar 11,"5,515.06","5,291.10","5,590.40","5,080.50",-,4.35%
Feb 11,"5,285.08","5,087.50","5,425.10","4,942.90",-,3.75%
Jan 11,"5,094.27","4,969.10","5,112.60","4,757.70",-,3.05%
Dec 10,"4,943.41","4,528.10","4,958.70","4,515.30",-,9.40%
Nov 10,"4,518.55","4,495.40","4,792.20","4,268.00",-,1.08%
Oct 10,"4,470.16","4,369.30","4,579.10","4,349.60",-,2.56%
Sep 10,"4,358.72","4,025.10","4,366.10","4,018.20",-,8.49%
Aug 10,"4,017.69","4,285.60","4,426.20","3,941.30",-,-5.52%
