Time,Close,,,,,
Jun 07,648.1,661.5,674,640,4.47K,
May 07,661,673.7,673.7,651.5,58.01K,
Apr 07,680.5,665.5,692.5,656.1,4.50K,
Mar 07,663,673,673,640,42.72K,
Feb 07,669.4,652.9,687.7,642,3.95K,
Jan 07,652,640.4,655.5,607,30.45K,
Dec 06,635.2,645.7,649.5,612,3.80K,
Nov 06,646.9,612.5,648,612.5,31.48K,
Oct 06,604.1,598.9,608.9,560.5,6.53K,
Sep 06,598.6,591,606.2,584,9.51K,
Aug 06,625.9,635.4,656,609,5.03K,
Jul 06,634.2,624,677,624,31.59K,
Jun 06,613.5,642.8,645.1,555,6.22K,
May 06,642.5,658,723,638,56.56K,
Apr 06,651.8,582,642,582,8.19K,
Mar 06,581.8,562.5,589.6,540,28.94K,
Feb 06,561.6,571.6,575.3,535.5,10.30K,
Jan 06,570.8,518.6,572.7,518.6,42.03K,
Dec 05,517.1,494.2,538.5,490.1,12.28K,
Nov 05,494.6,463,502.3,455.3,48.42K,
Oct 05,465.1,467.8,478.5,460.5,2.17K,
Sep 05,469,438.5,474,438.5,11.75K,
Aug 05,433.8,430,449.5,429.1,3.00K,
Jul 05,429.9,423.5,430.5,423.5,44.50K,
Jun 05,435.9,416.4,442.5,414,6.99K,
May 05,416.3,416.5,420.2,413.2,58.88K,
Apr 05,435,428.3,438.2,422.7,2.58K,
Mar 05,428.7,433.4,433.4,425.5,31.84K,
Feb 05,436.5,422.2,436,410.1,9.07K,
Jan 05,421.8,431,431,418.7,48.27K,
Dec 04,437.5,451.6,456.5,432.6,12.86K,
Nov 04,451.3,434,454.8,434,70.97K,
Oct 04,428.5,419.1,430,410.3,2.31K,
Sep 04,418.7,407.3,418.8,396.8,6.64K,
Aug 04,410.4,394,412.8,388.8,6.21K,
Jul 04,391,397.8,397.8,385,47.09K,
Jun 04,392.6,395.1,405,383,6.55K,
May 04,394,392,396.3,377,9.87K,
Apr 04,387,427.2,432,380,6.61K,
Mar 04,427.3,397.5,428,391.1,41.43K,
Feb 04,396.4,403,416,392.5,5.82K,
Jan 04,402.2,422.5,428.2,396.5,56.01K,
Dec 03,415.7,397.2,415.8,397,10.49K,
Nov 03,396.8,382.8,402,382.8,12.77K,
Oct 03,384.5,385.5,394,368,3.78K,
Sep 03,385.4,375,388.7,375,8.83K,
Aug 03,375.7,354.1,375,346,5.88K,
Jul 03,354,344,362,344,37.36K,
Jun 03,346,362.4,370,343.4,10.49K,
May 03,364.5,339,370,339,37.94K,
Apr 03,339.1,336,338.4,319.3,5.20K,
Mar 03,335.9,342.7,343,328.4,30.92K,
Feb 03,350.2,368,388.9,342,7.92K,
Jan 03,368.3,345.2,372,345.2,7.48K,
Dec 02,347.6,318.1,350.5,315.5,8.25K,
Nov 02,316.8,321.5,321.5,316.5,15.46K,
Oct 02,318,322,322.9,309.8,3.93K,
Sep 02,323.9,312.5,324.2,312.5,4.39K,
Aug 02,312.4,303.2,318,298,4.22K,
Jul 02,303.2,315,320.5,300.8,27.56K,
Jun 02,313.5,326.6,330.3,316,6.89K,
May 02,326.5,307.5,329,306.8,28.82K,
Apr 02,308.9,302.6,312.5,297.5,2.66K,
Mar 02,302.6,298,304.5,298,4.24K,
Feb 02,296.7,282.3,308,282.2,5.10K,
Jan 02,282.1,279,283.2,276.7,27.50K,
Dec 01,278.7,274.2,281.3,271.2,2.90K,
Nov 01,273.9,280.5,280.5,272.6,27.21K,
Oct 01,279.5,291.8,292.9,274,0.96K,
Sep 01,292.4,289.5,294,289,2.73K,
Aug 01,274.4,266.2,280.8,265.8,2.17K,
Jul 01,266.2,263.7,267.5,263.7,19.97K,
Jun 01,270.6,264.7,277,264.5,1.96K,
May 01,265.3,274.4,275,264.2,31.74K,
Apr 01,264,257.2,265,255,4.32K,
Mar 01,257.9,260,260.4,256.6,28.68K,
Feb 01,266.8,266.3,268.9,255,1.67K,
Jan 01,265.6,262.9,266.6,262.9,17.24K,
Dec 00,272,269.7,276,268,2.48K,
Nov 00,270.1,265.2,270.2,265.2,31.66K,
Oct 00,264.9,272.8,275,264.5,0.34K,
Sep 00,273.6,277.5,277.5,272,4.27K,
Aug 00,278.3,276,279,271,3.15K,
Jul 00,276.8,278.5,279,276,28.66K,
Jun 00,290.1,272,292.5,271.8,3.48K,
May 00,271.7,272.7,274.4,271.3,27.36K,
Apr 00,273.1,278.4,289.5,274,1.57K,
Mar 00,278.4,275,279.8,274.5,15.49K,
Feb 00,292.4,282.3,322,282.2,2.67K,
Jan 00,283.2,281,288,280.5,16.98K,
Dec 99,288.5,290.8,291.5,275,4.59K,
Nov 99,290.1,290.8,299.7,289,26.89K,
Oct 99,299.2,297.9,327.5,296,0.55K,
Sep 99,297.9,255.5,320,254.1,1.30K,
Aug 99,255.8,256.8,262.7,252.5,7.25K,
Jul 99,256.9,257.3,258.2,252.9,26.99K,
Jun 99,263.1,266.8,268.5,258.6,4.70K,
May 99,270.4,285,285,267.9,31.40K,
Apr 99,286.8,280.4,285.3,277.5,2.22K,
Mar 99,279.8,285,293,278.2,7.34K,
Feb 99,287.5,286.8,292.5,285.5,5.04K,
Jan 99,286.3,289,289,282.1,26.57K,
Dec 98,288.1,292,296.2,285.5,4.77K,
Nov 98,292.5,292.5,297,291,25.72K,
Oct 98,292.7,298.5,302.7,291.5,1.03K,
Sep 98,296.4,287,296.9,287,2.81K,
Aug 98,275.7,286.3,290,275.6,6.66K,
Jul 98,286.3,294.2,294.2,286,23.44K,
Jun 98,297,292.2,300.1,284.6,4.39K,
May 98,292.3,300,300,291.2,33.08K,
Apr 98,306.8,301,315.6,299,2.50K,
Mar 98,300.5,295.5,303.5,292.8,13.44K,
Feb 98,299.1,301.9,305.5,290.8,4.12K,
Jan 98,302.9,305.8,306.6,300.6,97.80K,
Dec 97,289.2,296.1,297.7,281.5,18.44K,
Nov 97,296.9,312.5,312.5,295.1,44.85K,
Oct 97,311.3,336,338,310.1,0.73K,
Sep 97,334.3,324.9,335,324.9,3.53K,
Aug 97,324.5,324.3,328.8,317,4.61K,
Jul 97,324.1,331.8,331.8,320,79.04K,
Jun 97,334.2,344.6,345,336.5,3.48K,
May 97,344.8,342.4,347.6,340.2,24.03K,
Apr 97,340,351.6,351.9,337,5.08K,
Mar 97,351,346,352.4,346,80.50K,
Feb 97,364.7,345.4,359.5,338.5,9.46K,
Jan 97,344.9,353.7,353.7,344.2,16.67K,
Dec 96,368.3,371.2,373.5,366,8.03K,
Nov 96,373,379,379,372.5,0.14K,
Oct 96,378.1,377.3,384,377,0.32K,
Sep 96,377.7,386.2,386.3,377.2,4.51K,
Aug 96,386.9,387.6,390.5,386,4.99K,
Jul 96,387.5,385,388,384,39.52K,
Jun 96,380.1,390.8,391,382.3,8.76K,
May 96,390.9,391.3,392,389.5,34.89K,
Apr 96,391.9,395.3,398,389.7,5.30K,
Mar 96,395.8,392.5,400.8,392.5,38.56K,
Feb 96,399.9,406.8,417.5,396.5,3.35K,
Jan 96,405.6,387.4,407.3,387.4,38.54K,
Dec 95,387.6,387.6,390.5,385.5,6.61K,
Nov 95,387.2,386.3,389,381.8,16.39K,
Oct 95,383,383.3,386.4,381.6,1.63K,
Sep 95,383.8,386.2,386.2,383.3,4.50K,
Aug 95,382.9,382,387,381.3,6.82K,
Jul 95,382.3,384.1,387.1,381.6,26.21K,
Jun 95,384.9,385,392.5,383.8,10.47K,
May 95,385.1,388.3,388.3,383.8,25.91K,
Apr 95,387,393.1,397.6,386,3.52K,
Mar 95,392.2,379,401,378.9,22.10K,
Feb 95,376.9,376.4,381,374.5,8.16K,
Jan 95,375.4,377.7,384.5,372,18.72K,
Dec 94,383.1,379.5,383.6,374.5,7.92K,
Nov 94,380.7,384.3,386.7,379.7,32.31K,
Oct 94,383.5,392.6,395.2,385.5,0.77K,
Sep 94,394.2,389.5,395.9,389.5,3.61K,
Aug 94,386.3,383.8,387.3,375.4,13.71K,
Jul 94,383,386.7,387.7,381.5,26.64K,
Jun 94,385.8,387.4,395.7,377.7,8.57K,
May 94,387.1,376.6,388.2,376.6,29.49K,
Apr 94,376.6,392,393,369.1,4.96K,
Mar 94,391.8,381,394,375,26.99K,
Feb 94,381.4,381.3,390.5,375.7,4.82K,
Jan 94,381.6,391,391,375.3,32.87K,
Dec 93,390.8,369.5,392.5,368.3,7.52K,
Nov 93,369.8,377,377,368,43.66K,
Oct 93,368.7,354.3,375,350.5,0.43K,
Sep 93,355.1,353,356.3,343,5.02K,
Aug 93,373,405.5,409,364.5,13.49K,
Jul 93,407,391.9,407.5,391.2,29.74K,
Jun 93,378.4,377.5,378.6,361.7,8.40K,
May 93,378.3,355,384.5,355,5.85K,
Apr 93,356.5,337,354.2,336,4.00K,
Mar 93,337.6,329.8,339.8,326,14.65K,
Feb 93,328.4,330,334.2,328,9.19K,
Jan 93,330.2,330,332.7,327,23.73K,
Dec 92,332.8,334.4,339.2,331.8,9.66K,
Nov 92,334.3,339.9,339.9,329.7,54.38K,
Oct 92,339.4,348.1,351,338,32.24K,
Sep 92,347.8,340.8,351.2,340.8,1.99K,
Aug 92,342.7,356.4,356.5,332.5,5.64K,
Jul 92,357.4,347.3,359.1,347.3,18.71K,
Jun 92,343.1,336.6,345,336.4,7.11K,
May 92,336.4,338.5,338.5,336.1,37.71K,
Apr 92,337.6,344.5,345,335,8.69K,
Mar 92,343.7,350,351.4,338.2,26.92K,
Feb 92,353,357.5,359.3,348.5,4.57K,
Jan 92,357,352.1,359.8,349.3,16.65K,
Dec 91,354.1,368.8,372.5,351,6.30K,
